objid,inventorynr,inventorynr_sorted,originaltitle,title_de,title_en,production_date,in_exhibition,material_de,material_en,measurement_height,measurement_width,measurement_depth,measurement_unit,description_de,description_en,creditline,acquiry_date,exploitation_rights,default_image,tags
1530,ÖL-Stg 103/0,ÖL-Stg 00103/000,Modular Painting with Four Panels #2,Modulares Bild aus vier Teilen #2,,1969,no,"Öl, Magna auf Leinwand","Oil, magna on canvas",244.0,244.0,,cm,"So selbstverständlich wie Roy Lichtenstein Comicstrips und Werbungen für seine Bilder heranzieht, eignet er sich auch die populärsten Bilder und Stile der Kunstgeschichte an. Diese sind für ihn frei verfügbarer Bestandteil einer banalen Massenkultur, die keinen Unterschied mehr zwischen Hoch- und Populärkultur macht. In ""Modular Painting with Four Panels"" bezieht sich Lichtenstein auf die Verherrlichung der Rationalität in Architektur und Design der 1930er-Jahre, die er einmal als „irgendwie blind geometrisch“ bezeichnet hat: „Die Vorliebe der 30er-Jahre für Logik hatte etwas Absurdes an sich. In meiner Arbeit setze ich gerne die 30er-Jahre zur rationalen Kunst von heute in Beziehung. Das, was heute gemacht wird, hat aber eine gewisse Ironie. Man weiß, dass es nicht mehr üblich ist, rational zu sein.“ Art déco, der Massenstil der 30er-Jahre, erlebt in den USA Ende der 1960er-Jahre ein Revival und prägt Lichtensteins nächste Umgebung in New York. ""Modular Painting"" veranschaulicht, wie Lichtenstein die Stilelemente des Art déco in sein, aus der Drucktechnik abgeleitetes, Rastersystem aus Punkten überträgt. Sein Interesse gilt dem Aufspüren von formalen Ähnlichkeiten, aber auch von Differenzen. Übereinstimmungen liegen in der grafischen Vereinfachung und der Standardisierung der Formen. Ein großes Quadrat setzt sich aus vier Modulen kleinerer quadratischer Bilder zusammen, auf denen jeweils dasselbe Wechselspiel von Kurven, Bögen und Diagonalen wiederholt wird.","As matter of factly as Roy Lichtenstein employs comic strips and commercials for his paintings so he appropriates the most popular paintings and styles in the history of art. To him, they are a readily available part of the banal mass culture which does not make a distinction between high and popular mass culture any more. In ""Modular Painting with Four Panels"" Lichtenstein refers to the glorification of rationality in architecture and design in the Thirties, he once called “somehow blindly geometrical.” “The Thirties preference for logic had a somewhat absurd touch. In my work, I like to relate the Thirties to rational art of today. What is done today has a certain irony, however. One knows it is not common any more to be rational. Art déco, the mass style of the Thirties, experienced a revival at the end of the Sixties in the U.S. and shaped Lichtenstein’s immediate environment in New York. ""Modular Painting with Four Panels"" illustrates how Lichtenstein transfers style elements of Art deco to his screen system of points derived from printing. He is interested in tracing formal similarities but also differences. The graphical simplification and standardization of forms correspond a large square consisting of four smaller square paintings each repeating the same interplay of curves, arches, and diagonals.","Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Estate of Roy Lichtenstein/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1530,"Pop Art, Amerika, Art Deco, Hyperrealismus, Benday, Raster, Druck"
1531,L 103/0,L 00103/000,Fahnenboot,,Boat with flags,1969,no,"Öl, Collage auf Holz","Oil, collage on wood",91.0,76.0,,cm,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1982,,https://www.mumok.at/imageobject.php?objid=1531,
1532,AV 103/0,AV 00103/000,Blauer Ton,,,1971,no,"16mm Film, Farbe, Ton, 30 min","16mm film, color, sound, 30 min",,,,,,,erworben/acquired in,2003,Sixpack Film,https://www.mumok.at/imageobject.php?objid=1532,
1534,MG 103/0,MG 00103/000,Joseph Beuys,,,1985,no,Farbfotografie,Color photograph,206.0,127.0,,cm,,,Schenkung aus Privatbesitz/donation from a private collection,2005,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1534,
1537,P 104/0,P 00104/000,Bella,,,1970,no,"Figur in Samtkleid mit Holzstuhl; Holz, Textil","Figure in velvet dress with wooden stool; wood, fabric; figure",132.0,40.0,27.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,Eva Aeppli,https://www.mumok.at/imageobject.php?objid=1537,
1538,B 104/0,B 00104/000,L ‘Atelier – été,,Atelier - Summer,1964,no,Öl auf Leinwand,Oil on canvas,129.0,194.0,,cm,,,erworben/acquired in,1964,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1538,"Malerei, Atelier, Staffelung, Einblick, Rahmen, Leinwand"
1539,G 104/0,G 00104/000,I'm Dreaming of a Black Christmas,,,1971,no,Siebdruck auf Papier,Silkscreen on paper,74.3,99.8,,cm,,,erworben/acquired in,1976,Richard Hamilton/Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=1539,"Irving Berlin, Bing Crosby, Hollywood, Holiday Inn, Umkehrung, Transfer, Film Still, Malerei, Druckgrafik, Mann, Anzug, Raum"
1540,ÖL-Stg 104/0,ÖL-Stg 00104/000,Titelblatt für Umschlag,,Title page for Cover,1904,no,"Tusche, Deckweiß auf Papier","India ink, opaque white on paper",19.7,11.1,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,,https://www.mumok.at/imageobject.php?objid=1540,
1561,G 106/0,G 00106/000,Porträt Joseph Matthias Hauer,,Portrait Joseph Matthias Hauer,1948,no,Pastell auf Papier,Pastel on paper,64.0,47.0,,cm,,,,1976,Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=1561,
1563,AV 106/0,AV 00106/000,Ichfilm (Namensfilm),,,1975,no,"16mm Film transferiert auf DVD, Farbe, stumm, 30 min","16mm film transferred to DVD, color, silent, 30 min",,,,,,,erworben/acquired in,2003,Sixpack Film,https://www.mumok.at/imageobject.php?objid=1563,
1565,MG 106/0,MG 00106/000,Snack,,,2000,no,C-Print auf Aluminium kaschiert,C-print mounted on aluminum,180.0,300.0,,cm,,,Schenkung aus Privatbesitz/donation from a private collection,2005,Constanze Ruhm,https://www.mumok.at/imageobject.php?objid=1565,
1566,WAA 106/0,WAA 0106/000,Vorschlag für die Gestaltung des österreichischen Pavillions bei der Biennale in Venedig,,Proposal for the Austrian Pavilion at the Venice Bienniale,1968,no,"3 Blätter: Matrizen, Kugelschreiber auf Papier","3 Sheets: Stencils, ball pen on paper",29.7,21.0,,cm,,,erworben/acquired in,2004,"Günter Brus/Otto Mühl/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1566,
1568,ÖL-Stg 106/1,ÖL-Stg 00106/001,Drei Bilder über den Frühling - Die Nacht,,Three Paintings on Spring - The Night,1978,no,Mischtechnik auf Leinwand,Mixed media on canvas,250.0,200.0,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1568,
1569,ÖL-Stg 106/2,ÖL-Stg 00106/002,Drei Bilder über den Frühling - Der Regen,,Three Paintings on Spring - The Rain,1978,no,Mischtechnik auf Leinwand,Mixed media on canvas,250.0,200.0,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1569,
1570,ÖL-Stg 106/3,ÖL-Stg 00106/003,Drei Bilder über den Frühling - Begegnung auf dem Meer,,Three Paintings on Spring - Encounter on the Sea,1978,no,Mischtechnik auf Leinwand,Mixed media on canvas,250.0,200.0,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1570,
1571,P 107/0,P 00107/000,Finger Box,,,1964,no,Lederkoffer mit 15 Holzwürfeln,Leather box with 15 wooden dice,44.0,10.0,30.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,Ay-O,https://www.mumok.at/imageobject.php?objid=1571,Fluxus
1572,B 107/0,B 00107/000,Esa sensacion de bienestar,Das Gefühl des Behagens,The sense of well-being,1964,no,Öl auf Leinwand,Oil on canvas,135.0,135.0,1.0,cm,,,erworben/acquired in,1964,,https://www.mumok.at/imageobject.php?objid=1572,
1573,G 107/0,G 00107/000,Yankee Flame,,,1975,no,Farblithographie auf Papier,Color lithograph on paper,76.0,57.0,,cm,,,erworben/acquired in,1976,Ben Schonzeit,https://www.mumok.at/imageobject.php?objid=1573,"Fotorealismus, Farben, Regenbogen, George Washington, Statue of Liberty, Spiegelung, Verdoppelung, Transparenz, Glas, Eiswürfel, Flüssigkeit, Tropfen"
1574,ÖL-Stg 107/0,ÖL-Stg 00107/000,Motorensäule 47 E,,,1976,no,"Farbe, Holz","Paint, wood",480.0,,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,Stiftung Bernhard Luginbühl,https://www.mumok.at/imageobject.php?objid=1574,
1575,L 107/0,L 00107/000,"Some Stripes, Some Circles",,"Einige Streifen, einige Kreise",1968,no,Lack auf Holzfaserplatte,Lacquer on fiberboard,,,,,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1969,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1575,
1576,AV 107/0,AV 00107/000,Herr über 230 Autos,,,1975,no,"16mm Film transferiert auf DVD, Farbe, Ton, 2 min","16mm film transferred to DVD, color, sound, 2 min",,,,,,,erworben/acquired in,2003,Sixpack Film,https://www.mumok.at/imageobject.php?objid=1576,
1578,MG 107/0,MG 00107/000,"5. Malaktion, 1962, Brünnerstraße",,"5th Painting Action, 1962, Brünnerstraße",1962 (2005),no,25 S/W Fotografien,25 b/w photographs,13.0,18.0,,cm,,,Schenkung Kari Bauer/donation by Kari Bauer,2005,Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=1578,
1579,WAA 107/0,WAA 0107/000,Vorschlag für die Gestaltung des österreichischen Pavillions bei der Biennale in Venedig (zweite Version),Vorschlag für die Gestaltung des österreichischen Pavillions bei der Biennale in Venedig (zweite Version),Proposal for the Austrian Pavilion at the Venice Bienniale (Second Version),1968,no,"Matrize, Kugelschreiber auf Papier","Stencil, ball pen on paper",29.7,21.0,,cm,,,erworben/acquired in,2004,"Günter Brus/Otto Mühl/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1579,
1581,P 108/0,P 00108/000,Table à Manger,,,1966,no,Holztisch mit diversen Gegenständen,Wooden table with various objects,118.0,58.0,38.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,Ay-O,https://www.mumok.at/imageobject.php?objid=1581,Fluxus
1582,B 108/0,B 00108/000,Malerei,,Painting,1963,no,Öl auf Leinwand,Oil on canvas,161.0,180.0,,cm,,,erworben/acquired in,1964,Wolfgang Hollegha,https://www.mumok.at/imageobject.php?objid=1582,"Malerei, Abstraktion, Flecken, Striche, Farben"
1583,G 108/0,G 00108/000,Dr. Otto Breicha,,,1976,no,Bleistift auf Papier,Pencil on paper,61.0,45.0,,cm,,,erworben/acquired in,1977,Edeltraud Watzl,https://www.mumok.at/imageobject.php?objid=1583,"Zeichnung, Porträt, Otto Breicha, Skizze"
1584,ÖL-Stg 108/0,ÖL-Stg 00108/000,Up Front,,,1978,no,Acryl auf Baumwolle,Acrylic on cotton,224.0,269.0,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,Kim MacConnel,https://www.mumok.at/imageobject.php?objid=1584,
1585,L 108/0,L 00108/000,Bildnis Wolfgang Hutter,,Portrait of Wolfgang Hutter,1947,no,"Öl, Collage auf Holz","Oil, collage on wood",19.0,38.0,,cm,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1971,Fritz Janschka,https://www.mumok.at/imageobject.php?objid=1585,
1586,AV 108/0,AV 00108/000,Filmtagebuch (Filmtext),,,1967 - 1975,no,"16mm Film transferiert auf DVD, s/w, stumm, 3 min","16mm film transferred to DVD, b/w, silent, 3 min",,,,,,,erworben/acquired in,2003,Sixpack Film,https://www.mumok.at/imageobject.php?objid=1586,
1588,MG 108/0,MG 00108/000,"Ohne Titel, aus der Serie: Interface II",,"Untitled, from the series: Interface II",2000,no,C-Print auf Aluminium,C-print on aluminum,60.0,80.0,,cm,,,Schenkung aus Privatbesitz/donation from a private collection,2005,Jutta Strohmaier,https://www.mumok.at/imageobject.php?objid=1588,Österreich; Fotografie; Architektur; Modell; Raum; Licht
1591,P 109/0,P 00109/000,Tür,,Door,1954/1956,no,Verbrannte Holztür mit Hasenohren und Reiherschädel,Burned door with hare ears and heron skull,210.0,108.0,10.0,cm,"Joseph Beuys in einem Interview:„Das ist eine verbrannte Tür aus einem Atelier, das ich in der Zeit von 1951 mit meinem Freund, dem Dichter Adam Reinhard Lünen, in Heerdt bei Düsseldorf bewohnt habe. Diese Tür ist nicht von mir verbrannt worden, sondern sie ist durch eine Explosion im Hause so bearbeitet, also verbrannt worden. Als ich dann aus diesem Atelier, um 1958, auszog, habe ich diese Tür mitgenommen und lediglich zwei Requisiten an diese Tür gehängt. Es handelt sich um zwei Hasenohren und einen Reiherschädel, also anatomische Bestandteile von Tieren, die später bei meinen Aktionen eine gewisse Bedeutung haben.“So Joseph Beuys.Der Düsseldorfer Künstler lehnte die verkohlte Tür an die Wand des Ausstellungsraumes, und die schwarzen, gebrochenen Linien erinnern beinahe an die Oberfläche alter Ölgemälde, an den Craquelé-Effekt klassischer Malerei.Beuys stellte hier ein dem Alltag entnommenes, gefundenes Objekt, ein Objet trouvé, aus. Augenscheinlich hat ein Brand dieses Holz zerstört, und die Flammen haben ihre Spuren hinterlassen. Die verkohlten Überreste sind aber mehr als nur ein konkretes Relikt. Sie verweisen darüber hinaus auf die prinzipielle Zerstörungskraft von Feuer, auf eine archetypische Vorstellung der Zerstörung und Erneuerung.Tierpräparate, wie hier der Reiherkopf und die Hasenohren, finden sich in den Installationen von Joseph Beuys immer wieder. Allerdings sind sie nicht mit Glücks- oder Schutzbedeutungen belegt, wie man sie aus dem Volksglauben kennt. Und selbst abergläubische Menschen tragen kaum noch Hasenpfoten mit sich herum. Die Hasenohren und der Reiherkopf wirken wie aus einer Vor- oder Urzeit stammend, aus einem mythischen Zeitalter.Beuys überlässt es uns, aus seinen Installationen Deutungen herauszulesen, und behält dennoch immer die Fäden in der Hand. Seine Arrangements und Setzungen sind keine willkürlichen Ansammlungen. Es sind offene Formen eines rätselhaften ästhetischen Repertoires, in dem der Künstler wie ein Schamane auftritt.","Joseph Beuys in an interview:""This is a burned door from a studio in Heerdt near Düsseldorf that I lived in from 1951 with my friend the poet Adam Reinhard Lünen. I did not burn the door, it was an explosion in the building that did this and burned it. When I left the studio, around 1958, I took this door with me and hung just two props on it. These are two hare’s ears and the skull of a heron, anatomical parts of animals that later gained some significance in my actions.""The Düsseldorf artist leaned this charred door up against the wall of the exhibition gallery, where the broken black lines almost looked like the cracked surface of an old oil painting. Here Beuys exhibited an object taken from an everyday context—an objet trouvé. It is clear that this wood was damaged by fire and the flames have left their mark. The charred remains are more than just a concrete relic, however. They also indicate the fundamental destructive force of fire and an archetype of destruction and renewal.Beuys frequently used prepared animal parts in his installations, like the heron’s skull and the hare’s ears here. But they are not meant as lucky or protective charms, as they are often in popular myth. And even superstitious people rarely carry around hare’s paws today. They seem to come from some primeval age of myth.Beuys leaves it to us to draw conclusions from his installations and yet still keeps everything under control. His arrangements and settings are not arbitrary. They are open forms in a puzzling aesthetic repertoire in which the artist appears as a shaman.","ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1591,"Malerei, Performance, Deutschland, Aktionskunst, Politik, Nachkriegszeit, Skulptur, Plastik,"
1592,B 109/0,B 00109/000,Lea Bondi,,,1927,no,Öl auf Holz,Oil on wood,58.0,47.0,,cm,,,erworben/acquired in,1965,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1592,"Porträt, Gemälde, Wien, Deutschland, Neue Sachlichkeit,"
1594,ÖL-Stg 109/0,ÖL-Stg 00109/000,Rustler Charger,,,1971,no,Öl auf Mischgewebe,Oil on mixed fabric,167.0,167.0,4.0,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,Richard McLean,https://www.mumok.at/imageobject.php?objid=1594,"Amerika, Pop Art, Hyperrealismus, Gesellschaft; Medien; Medienkritik; Tiere, Pferd; Rodeo; Werbung;"
1595,AV 109/0,AV 00109/000,12 Uhr Mittags - High Noon,,,1977,no,"16mm Film transferiert auf DVD, Farbe, Ton, 4 min","16mm film transferred to DVD, color, sound, 4 min",,,,,,,erworben/acquired in,2003,Sixpack Film,https://www.mumok.at/imageobject.php?objid=1595,
1597,MG 109/0,MG 00109/000,"Ohne Titel, aus der Serie: Interface II",,"Untitled, from the series: Interface II",2000,no,C-Print auf Aluminium,C-print on aluminum,60.0,80.0,,cm,,,Schenkung aus Privatbesitz/donation from a private collection,2005,Jutta Strohmaier,https://www.mumok.at/imageobject.php?objid=1597,Österreich; Fotografie; Architektur; Modell; Raum; Licht
1600,P 110/0,P 00110/000,Liz Taylor,,,1969,no,"Puppe aus Draht, Haar, Pelz, Polyurethan, Schmuckgegenständen, Textilien","Doll made of wire, hair, fur, polyurethane, costume jewelry, textiles",91.5,36.0,30.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,Saskia De Boer,https://www.mumok.at/imageobject.php?objid=1600,
1601,B 110/0,B 00110/000,Idyll in Sindelsdorf,,Idyllic Scene in Sindelsdorf,1913,no,Öl auf Leinwand,Oil on canvas,129.5,100.0,2.3,cm,"Im Oktober 1911 schrieb Franz Marc an August Macke begeistert über die Arbeiten eines unbekannten jungen Malers aus Krefeld. „Famos“ und „scharf“ seien sie. In diesem Jahr war Heinrich Campendonk gerade als jüngstes Mitglied in die Künstlergruppe des Blauen Reiter aufgenommen worden. Durch die beharrliche Fürsprache von Franz Marc bei dem berühmten Sammler Alfred Flechtheim erhielt Campendonk die Mittel um nach Sindelsdorf im heutigen Oberbayern und damit in die Nähe von Marc, seinem großen Vorbild, zu übersiedeln.Durch die direkte Auseinandersetzung und den Austausch mit Kandinsky, Macke und Marc entstanden Werke in denen die Formensprache und Motive des Blauen Reiter unverkennbar sind. Als seine Inspirationsquellen nennt Campendonk nur mehr die Natur: Eine Malerei in zunehmend kubistischer Formzerlegung, die sich bewusst von der Nachahmung der Natur entfernt aber die Natur als ihren Inhalt hat. In der ländlichen Umgebung wird die Darstellung der „Harmonie der Schöpfung“ in den Jahren 1912-13 zu seinem Hauptthema. Zu dieser Werkgruppe gehört auch „Idyll in Sindelsdorf“. Menschen und Tiere stehen in harmonischer Nähe zueinander. Die bunten kontrastreichen Formen und Farbflächen mit ihren betonten Konturen steigern die dynamische Wirkung des Motivs ins Expressive. In diesen Stilmitteln klingen auch der Einfluss des Orphismus von Robert Delaunay oder des italienischen Futurismus an. Sie zeigen die Experimentierfreude des jungen Malers und eine fast naive Hingabe an eine utopische Vorstellung von der Welt, welcher nur kurz später der Erste Weltkrieg ein jähes Ende setzen sollte.","In October 1911 Franz Marc wrote to August Macke enthusing about the work of an unknown painter from Krefeld. The work was “splendid” and “strong”. That year saw Campendonk accepted into the Blaue Reiter (Blue Rider) artist group as its youngest member. Because of Franz Marc’s assiduous intercession on his behalf with the famous collector Alfred Flechtheim, Campendonk was able to move to Sindelsdorf—in Upper Bavaria—and thus to be close to Marc who was an important role model for him. The contact, engagement and exchange with Kandinsky, Macke and Marc led to works in which the formal language and subject matter of the Blaue Reiter group is unmistakable. Campendonk stated that nature was his sole source of inspiration: a way of painting that exhibited an increasing Cubist deconstruction of forms, which deliberately distanced itself from imitating nature but which nevertheless took nature as its subject. Situated in a rural environment, the depiction of the “Harmony of Creation” became his main theme in 1912-13. The work group includes “Idyll in Sindelsdorf”. Humans and animals stand close to each other in harmony. The colorful, high-contrast forms and colored areas with their accentuated contours heighten the dynamic effect of the motif towards the expressive. This stylistic device contains echoes of Robert Delauney’s Orphism or Italian Futurism. It shows the young painter’s pleasure in experimentation and an almost naïf devotion to a utopian conception of the world which would come to an abrupt end a short while later with the onset of the First World War.",erworben/acquired in,1965,Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=1601,"Malerei, Klassische Moderne, Tiere, Landschaft, Figur, Deutschland, Blauer Reiter, Kubismus, Avantgarde,"
1602,G 110/0,G 00110/000,Ohne Titel,,Untitled,1977,no,"Bleistift, Tusche, Kugelschreiber auf Papier","Pencil, india ink, ball pen on paper",22.0,30.5,,cm,,,erworben/acquired in,1977,,https://www.mumok.at/imageobject.php?objid=1602,
1604,AV 110/0,AV 00110/000,Wienfilm 1896 - 1976,,,1977,no,"16mm Film transferiert auf DVD, Farbe, s/w, Ton, 117 min","16mm film transferred to DVD, color, b/w, sound, 117 min",,,,,,,erworben/acquired in,2003,Sixpack Film,https://www.mumok.at/imageobject.php?objid=1604,
1606,MG 110/0,MG 00110/000,"Ohne Titel, aus der Serie: Interface I",,"Untitled, from the series: Interface I",2000,no,C-Print auf Aluminium,C-print on aluminum,120.0,95.0,,cm,,,Schenkung aus Privatbesitz/donation from a private collection,2005,Jutta Strohmaier,https://www.mumok.at/imageobject.php?objid=1606,Österreich; Fotografie; Architektur; Modell; Raum; Licht;
1612,P 111/0,P 00111/000,"The Book of the Tumbler on Fire, Volume I, Chapter VIII, Page 3, Footnote 19",,,1969,no,Stuhl mit Regenschirm und Warnlampe,Chair with umbrella and warning light,115.0,85.0,110.0,cm,"Ein Holzsessel, darauf eine Lampe und ein Regenschirm. Und das alles ist: „The Book of the Tumbler on Fire, Volume I, Chapter VIII, Page 3, Footnote 19“. So weit, so rätselhaft.Der Künstler George Brecht präsentierte sein „Book of the Tumbler on Fire“ erstmals 1965 in New York. In den Räumen der Fischbach Gallery stellte er Objekte zusammen, die in ihrer Kombination keine Geschichte nacherzählen. Sie wirken wie unerklärliche Zusammenkünfte, wie Geheimtreffen der Dinge, die sich tuschelnd in konspirativen Zirkeln zueinander gesellen. Oder sind es Requisiten einer Performance, die man gerade verpasst hat? Oder die Versuchsanordnung eines Experiments – und uns fehlt nur noch die Schritt-für-Schritt-Anleitung?Die Dinge, die der Künstler hier zu Installationen zusammenfügt, bleiben verwirrend, und die Titel der jeweiligen Arbeiten helfen nicht bei der Enträtselung. Denn Brecht ersetzt die traditionellen Werkbegriffe, sei es nun Bild oder Skulptur, durch Begriffe aus der Literatur. Er erklärt sein gesamtes künstlerisches Werk zu einem „Buch“. So entsprechen die Installationen aus den verschiedensten Materialien den Bänden und Kapiteln seines Buches, sind Seiten und Fußnoten seiner persönlichen Projekte. Über ein Jahrzehnt arbeitete er an seinem „Buch“ weiter, fügte mit jedem neuen Werk eine neue Seite dazu.George Brecht ist in vielerlei Hinsicht ein unkonventioneller Künstler. Jahrelang arbeitete er als Chemiker für die Industrie. Besuchte aber gleichzeitig 1958/’59 den Kurs „Experimental Composition“, experimentelles Komponieren, bei John Cage in New York. Er nahm aktiv und prägend an Fluxus-Aktionen teil und war Mitinitiator des legendären YAM-Festivals. Das einjährige Festival startete im Mai 1962 und fand in New York und auf einer Farm statt. Daran beteiligten sich Künstler wie Allan Kaprow, La Monte Young, Wolf Vostell und Dick Higgins.","A wooden armchair with a lamp and an umbrella on it—called The Book of the Tumbler on Fire, Volume I, Chapter VIII, Page 3, Footnote 19. Rather mysterious.Artist George Brecht first presented his Book of the Tumbler on Fire in the Fischbach Gallery in 1965 in New York. He combined objects that together tell no story. They are like inexplicable encounters, a secret meeting of things that have come together to whisper comparatively. Or are they props from a performance we have just missed? Or an experimental arrangement for which we are missing the instructions?The objects with which the artist has creates his installations remain confusing, while the titles of the works offer no help. Brecht replaces traditional definitions of artworks, whether seen as paintings or sculptures, with concepts from literature. He declares his whole artistic oeuvre to be a “book.” His installations compiled of diverse materials thus correspond to the volumes and chapters of his book and are the pages and footnotes of his personal projects. He spent more than a decade working on his “book,” adding a new page with each new work.George Brecht is an unconventional artist in many ways. For many years he worked in industry as a chemist, but also attended a course in Experimental Composition in 1958 and 1959 with John Cage in New York, while still in his job. He played an active and influential role in Fluxus actions and was co-initiator of the legendary YAM Festival. This one-year festival began in May 1962 and took place in New York and on a farm. Participating artists included Allan Kaprow, La Monte Young, Wolf Vostell, and Dick Higgins.","ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,George Brecht/Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=1612,"Fluxus, Handlung, Score, Zufall"
1613,B 111/0,B 00111/000,Les heures heureuses,Die glücklichen Stunden,The Happy Hours,1963,no,"Filzstift, Metallstift, Pappe, Schnur","Felt-tip pen, aglet, cardboard, string",30.0,23.0,,cm,,,erworben/acquired in,1965,"Man Ray Trust, Paris/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1613,"Klassische Moderne, Abstraktion, Dada, Konstruktion, Frankreich, Dadaismus, Eisen, Objekt, Skulptur, Plastik, Assemblage"
